Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
0.5,25,6,35,49,60,214,219,219,223,28,0,0,1,0,0,0,0,0,0,6
0.5,25,6,35,49,60,214,219,219,223,27,0,0,-2,0,0,0,0,0,0,6
1,17,1,20,30,44,214,219,219,223,22,0,0,1,0,0,0,0,0,0,17
0.5,25,6,35,49,60,214,219,219,223,27,0,0,-2,0,0,0,0,0,0,6
3,25,3,9,49,60,214,219,219,223,6,0,0,1,0,0,0,0,0,0,30
1,17,28,35,30,44,214,219,219,223,6,0,0,6,0,0,0,13,0,0,6
4,17,18,21,30,44,214,219,219,223,2,0,0,1,0,0,0,0,0,0,17
3,8,1,20,39,44,214,219,219,223,20,0,0,1,0,0,0,0,0,0,17
8,8,1,20,39,44,214,219,219,223,20,0,0,1,0,0,0,0,0,0,17
4,8,28,34,39,44,214,219,219,223,5.5,0,0,8.5,0,0,0,1,0,0,6
3,8,14,20,39,44,214,219,219,223,7.5,0,0,3.5,0,0,0,0,0,0,17
2,8,1,20,39,44,214,219,219,223,20,0,0,0,0,0,0,1,0,0,17
5,5,9,10,22,35,214,219,219,223,2,0,0,4,0,0,0,0,0,0,27
3,6,19,18,46,55,214,219,219,223,1,0,0,19,0,0,0,0,0,0,17
2,17,8,15,30,44,214,219,219,223,8,0,0,7,0,0,0,0,0,0,17
6,8,18,24,39,44,214,219,219,223,7.5,0,0,1,0,0,0,1,0,0,5
1,8,20,23,39,44,214,219,219,223,6.5,0,0,4,0,0,0,1,0,0,6
2,25,1,10,49,60,214,219,219,223,9,0,0,1,0,0,0,0,0,0,17
4,17,6,23,50,69,214,219,219,223,16,0,0,6,0,0,0,0,0,0,6
1,25,1,7,49,60,214,219,219,223,7,0,0,1,0,0,0,0,0,0,20
1,25,3,8,49,60,214,219,219,223,7,0,0,3,0,0,0,0,0,0,17
5,17,6,8,50,69,214,219,219,223,1,0,0,6,0,0,0,0,0,0,11
2,17,7,8,50,69,214,219,219,223,0,0,0,7,0,0,0,0,0,0,11
1,17,5,8,50,69,214,219,219,223,1,0,0,3,0,0,0,0,0,0,11
0,5,13,21,67,75,67,75,73,89,9,0,0,13,0,0,0,0,0,0,58
20,7,69,72,67,72,67,72,67,72,30.5,0,0,6.5,0,0,0,0,0,0,8
13,1,61,75,61,75,61,75,73,89,36,0,0,1,0,0,0,0,0,0,4
0,7,1,15,67,72,67,72,67,72,15,0,0,1,0,0,0,0,0,0,64
0,1,12,15,12,15,12,15,67,72,4,0,0,12,0,0,0,0,0,0,64
0,7,1,2,67,72,67,72,67,72,2,0,0,1,0,0,0,0,0,0,63
13,5,1,54,67,75,67,75,73,89,54,0,0,0,0,0,0,1,0,0,4
5,5,54,54,67,75,67,75,73,89,1,0,0,54,0,0,0,0,0,0,4
3,3,1,51,1,51,67,72,67,72,51,0,0,1,0,0,0,0,0,0,8
13,5,1,54,67,75,67,75,73,89,54,0,0,0,0,0,0,1,0,0,4
3,1,1,50,1,50,1,50,73,89,52,0,0,1,0,0,0,0,0,0,7
3,28,5,11,49,109,119,138,119,138,7,0,0,5,0,0,0,0,0,0,45
6,28,7,5,49,109,119,138,119,138,1,0,0,7,0,0,0,0,0,0,36
8,18,1,34,19,35,93,97,119,138,34,0,0,1,0,0,0,0,0,0,31
3,18,13,34,19,35,93,97,119,138,22,0,0,7,0,0,0,0,0,0,31
5,18,17,34,19,35,93,97,119,138,18,0,0,1,0,0,0,0,0,0,31
3,18,1,35,19,35,93,97,119,138,33,0,0,1,0,0,0,0,0,0,31
5,18,13,34,19,35,93,97,119,138,22,0,0,13,0,0,0,0,0,0,31
2,18,1,35,19,35,93,97,119,138,33,0,0,1,0,0,0,0,0,0,31
1,16,13,35,15,35,93,97,119,138,21,0,0,13,0,0,0,0,0,0,31
5,16,13,15,15,35,93,97,119,138,1,0,0,1,0,0,0,0,0,0,31
3,18,1,35,19,35,93,97,119,138,35,0,0,1,0,0,0,0,0,0,31
8,16,13,34,15,35,93,97,119,138,11.5,0,0,7,0,0,0,0,0,0,31
1,16,1,22,15,35,93,97,119,138,22,0,0,1,0,0,0,0,0,0,43
2,16,1,34,15,35,93,97,119,138,17.5,0,0,1,0,0,0,0,0,0,31
3,5,3,11,15,23,32,35,306,310,9,0,0,3,0,0,0,0,0,0,26
4,1,18,17,16,17,32,35,306,310,1,0,0,17,0,0,0,0,0,0,18
2,15,3,7,30,30,32,35,306,310,6,0,0,3,0,0,0,0,0,0,27
2,5,3,6,15,23,32,35,306,310,6,0,0,2,0,0,0,0,0,0,28
7,15,3,8,30,30,32,35,306,310,7,0,0,3,0,0,0,0,0,0,26
7,15,5,8,30,30,32,35,306,310,5,0,0,5,0,0,0,0,0,0,26
3,15,8,8,30,30,32,35,306,310,2,0,0,7,0,0,0,0,0,0,26
6,15,4,21,30,30,32,35,306,310,18,0,0,4,0,0,0,0,0,0,14
7,15,2,7,30,30,32,35,306,310,7,0,0,2,0,0,0,0,0,0,27
6,128,17,30,31,35,32,35,306,310,14,0,0,9,0,0,0,0,0,0,5
3,128,5,7,31,35,32,35,306,310,5,0,0,4,0,0,0,0,0,0,27
3,14,9,7,31,32,32,35,306,310,1,0,0,8,0,0,0,0,0,0,27
6,128,17,31,31,35,32,35,306,310,14,0,0,17,0,0,0,0,0,0,5
3,128,2,1,31,35,32,35,306,310,2,0,0,2,0,0,0,0,0,0,32
2,15,2,6,30,30,32,35,306,310,6,0,0,2,0,0,0,0,0,0,28
0,128,9,11,31,35,32,35,306,310,2,0,0,4,0,0,0,0,0,0,10.5
8,128,5,5,31,35,32,35,306,310,1,0,0,4,0,0,0,0,0,0,27
2,128,6,7,31,35,32,35,306,310,5,0,0,2,0,0,0,0,0,0,23
2,128,6,7,31,35,32,35,306,310,5,0,0,2,0,0,0,0,0,0,23
1,128,6,7,31,35,32,35,306,310,5,0,0,2,0,0,0,0,0,0,23
0.5,128,6,6,31,35,32,35,306,310,1,0,0,1.5,0,0,0,0,0,0,23
0,128,1,2,31,35,32,35,306,310,1,0,0,1,0,0,0,1,0,0,14.5
10,15,10,13,30,30,32,35,306,310,2,0,0,10,0,0,0,0,0,0,16
10,15,10,13,30,30,32,35,306,310,2,0,0,10,0,0,0,0,0,0,16
10,15,9,11,30,30,32,35,306,310,2,0,0,9,0,0,0,0,0,0,16
5,15,5,10,30,30,32,35,306,310,5,0,0,5,0,0,0,0,0,0,17
7,5,9,13,15,23,32,35,306,310,2,0,0,9,0,0,0,0,0,0,16
0,128,3,4,31,35,32,35,306,310,2,0,0,2,0,0,0,0,0,0,1
2,14,1,11,31,32,32,35,306,310,11,0,0,1,0,0,0,0,0,0,16
7,15,5,7,30,30,32,35,306,310,2,0,0,5,0,0,0,0,0,0,20
1,128,1,1,31,35,32,35,306,310,1,0,0,1,0,0,0,0,0,0,20
8,15,3,1,30,30,32,35,306,310,1,0,0,2,0,0,0,0,0,0,16
0,128,11,13,31,35,32,35,306,310,1,0,0,6,0,0,0,0,0,0,6
5,15,9,10,30,30,32,35,306,310,2,0,0,9,0,0,0,0,0,0,6
0,14,1,4,31,32,32,35,306,310,2,0,0,1,0,0,0,1,0,0,10
0,14,1,3,31,32,32,35,306,310,3,0,0,1,0,0,0,0,0,0,10
0,14,2,3,31,32,32,35,306,310,3,0,0,1,0,0,0,0,0,0,2
1,128,2,0,31,35,32,35,306,310,1,0,0,2,0,0,0,0,0,0,2
