Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-353,Standard,Released,4,2019-02-08T14:47:01,2019-03-05T12:01:01,2019-03-07T10:37:01,2,19,Procure office supplies
KEY-354,Standard,Released,0,2019-02-08T17:19:01,2019-02-08T17:20:01,2019-03-20T13:45:01,28,28,Rebuild website
KEY-355,Standard,Released,8,2019-02-11T12:16:01,2019-02-27T10:41:01,2019-03-08T09:21:01,7,17,Rebrand struggling product
KEY-359,Intangible,Released,0,2019-02-12T13:23:01,2019-02-15T15:32:01,2019-02-28T09:33:01,9,12,Improve employee morale
KEY-36,Standard,Rejected,0,2018-10-04T13:35:01,2019-01-30T12:34:01,2019-01-30T12:34:01,1,84,Procure office supplies
KEY-360,Standard,Released,0,2019-02-12T13:26:01,2019-03-05T10:44:01,2019-03-05T10:44:01,1,15,Promote our new product
KEY-361,Standard,Released,0,2019-02-12T13:27:01,2019-02-15T15:33:01,2019-03-05T10:38:01,12,15,Improve employee morale
KEY-362,Fixed Date,Released,0,2019-02-12T13:30:01,2019-03-05T10:44:01,2019-03-05T10:44:01,1,15,Promote our new product
KEY-363,Standard,Released,0,2019-02-12T13:32:01,2019-03-05T10:45:01,2019-03-05T10:45:01,1,15,Promote our new product
KEY-364,Standard,Released,0,2019-02-12T13:36:01,2019-03-05T10:46:01,2019-03-05T10:46:01,1,15,Create product differentiator
KEY-365,Standard,Won't Do,0,2019-02-12T13:38:01,2019-03-05T10:47:01,2019-03-05T10:47:01,1,15,Create product differentiator
KEY-366,Standard,Won't Do,0,2019-02-12T13:40:01,2019-03-05T10:47:01,2019-03-05T10:47:01,1,15,Create product differentiator
KEY-367,Standard,Won't Do,0,2019-02-12T13:40:01,2019-04-15T13:10:01,2019-04-15T13:11:01,1,44,Address logistical inefficiencies
KEY-368,Standard,Won't Do,0,2019-02-12T13:41:01,2019-03-05T10:48:01,2019-03-05T10:48:01,1,15,Create employee training strategy
KEY-369,Fixed Date,Won't Do,0,2019-02-12T13:43:01,2019-04-15T13:13:01,2019-04-15T13:14:01,1,44,Address logistical inefficiencies
KEY-37,Standard,Released,0,2018-10-04T13:35:01,2019-01-30T12:39:01,2019-01-30T12:39:01,1,84,Address product quality issues
KEY-370,Standard,Won't Do,0,2019-02-12T13:44:01,2019-04-15T13:14:01,2019-04-15T13:16:01,1,44,Address logistical inefficiencies
KEY-371,Fixed Date,Won't Do,0,2019-02-12T13:46:01,2019-04-15T13:16:01,2019-04-15T13:16:01,1,44,Address logistical inefficiencies
KEY-372,Standard,Won't Do,0,2019-02-12T13:47:01,2019-03-05T10:48:01,2019-03-05T10:49:01,1,15,Create employee training strategy
KEY-373,Standard,Won't Do,0,2019-02-12T13:53:01,2019-03-05T10:49:01,2019-03-05T10:49:01,1,15,Create employee training strategy
KEY-374,Standard,Won't Do,0,2019-02-12T13:54:01,2019-03-05T10:49:01,2019-03-05T10:50:01,1,15,Rebrand struggling product
KEY-375,Standard,Won't Do,0,2019-02-12T14:00:01,2019-03-05T10:50:01,2019-03-05T10:51:01,1,15,Rebrand struggling product
KEY-376,Standard,Won't Do,0,2019-02-12T14:01:01,2019-03-05T11:00:01,2019-03-05T11:01:01,1,15,Rebrand struggling product
KEY-377,Standard,Won't Do,0,2019-02-12T15:07:01,2019-04-17T10:07:01,2019-05-21T16:16:01,25,71,Increase web checkout security
KEY-378,Standard,Released,0,2019-02-12T16:00:01,2019-05-21T16:15:01,2019-05-21T16:16:01,1,71,Increase web checkout security
KEY-379,Intangible,Released,0,2019-02-12T16:01:01,2019-05-21T16:15:01,2019-05-21T16:16:01,1,71,Increase web checkout security
KEY-38,Standard,Released,0,2018-10-04T13:35:01,2019-01-30T12:39:01,2019-01-30T12:40:01,1,84,Address product quality issues
